Titulo	Comprados	Total	Pendiente(No consecutivos)	Completa	Prioridad	Formato	Editorial	Column 1	Column 2	Column 3	Column 4	Column 5	Column 6	Column 7	Column 8	Column 9	Column 10	Column 11	Column 12	Column 13	Column 14	Column 15	Column 16
Inuyashiki	10	10		TRUE	FALSE	B6	ovni																
K-On	1	1		TRUE	FALSE	Unknown	Unknown																
Yakuza Girl	2	2		TRUE	FALSE	Unknown	Unknown																
Ten Count	6	6		TRUE	FALSE	Unknown	Unknown																
Your Name	3	3		TRUE	FALSE	Unknown	Unknown																
Your Name LN	1	1		TRUE	FALSE	Unknown	Unknown																
Gigant	10	10		TRUE	FALSE	Unknown	Unknown																
tachibana	1	1		TRUE	FALSE	Unknown	Unknown																
Saihoshi	1	1		TRUE	FALSE	Unknown	Unknown																
Burn the Witch	1	1		TRUE	FALSE	Unknown	Unknown																
twilight out of focus	2	6		FALSE	FALSE	Unknown	Unknown																
Konosuba LN	1	17		FALSE	FALSE	Unknown	Unknown																
Konosuba	9	??		FALSE	FALSE	Unknown	Unknown																
Haruhi LN	8	12		FALSE	FALSE	Tankoubon	Yen On																
Haruhi	20	20		TRUE	FALSE	Tankoubon	ivrea																
Gantz	37	37		TRUE	TRUE	Tankoubon	ivrea																
Gantz:G	3	3		TRUE	FALSE	Tankoubon	panini																
Goblin Slayer	3	??		FALSE	FALSE	Unknown	Unknown																
FullMetal Alchemist 20th anniversary	1	1		TRUE	TRUE	A5 Color	ivrea																
FullMetal Alchemist	27	27		TRUE	TRUE	Tankoubon	ivrea																
Death Note	3	12		FALSE	TRUE	Unknown	Unknown																
Fire Punch	8	8		TRUE	FALSE	Tankoubon	ivrea																
Hunter X Hunter	10	??		FALSE	TRUE	Unknown	Unknown																
Hellsing	3	5		FALSE	TRUE	Unknown	Unknown																
Under Execution, Under Jailbreak	1	1		TRUE	FALSE	Unknown	Unknown																
El Arte de Hacer Manga	1	1		TRUE	FALSE	Unknown	Unknown																
Jojos Parte 1	3	3		TRUE	FALSE	Unknown	Unknown																
Jojos Parte 2	4	4		TRUE	FALSE	Unknown	Unknown																
Jojos Parte 3	2	10		FALSE	TRUE	Unknown	Unknown																
Jojos Parte 7	2	16		FALSE	FALSE	Unknown	Unknown																
Kaiju 8	9	??		FALSE	TRUE	Unknown	Unknown																
Chainsaw Man Buddy Stories	1	1		TRUE	TRUE	Tankoubon	ivrea																
Chainsaw Man 14 Alt	1	1		TRUE	TRUE	Tankoubon	ivrea																
Chainsaw Man	17	??		FALSE	FALSE	Tankoubon	ivrea																
Loser Ranger 	6	??		FALSE	FALSE	Unknown	Unknown																
Versus	2	??		FALSE	TRUE	Unknown	Unknown																
Darling in the Franx	8	8		TRUE	TRUE	Unknown	Unknown																
Mi hobby es Raro	1	1		TRUE	TRUE	Unknown	Unknown																
Me acuesto con mi Amiga Casada	1	1		TRUE	TRUE	Unknown	Unknown																
Bakemonogatari	4	18	1,4-11,13-15,17,18	FALSE	FALSE	Unknown	Unknown																
Adolf	1	5		FALSE	FALSE	Unknown	Unknown																
Love Hina	1	7		FALSE	FALSE	Unknown	Unknown																
Golden Kamuy	3	31		FALSE	FALSE	Unknown	Unknown																
Battle Royale	8	8		TRUE	FALSE	B6	ivrea																
Battle Royale 2	2	2		TRUE	FALSE	Tankoubon	ivrea																
Cafe Occult	1	5		FALSE	FALSE	Unknown	Unknown																
Battle Club	2	6		FALSE	FALSE	Unknown	Unknown																
Daydream	3	10	2,4-10	FALSE	FALSE	Unknown	Unknown																
Hatsukoi Limited	4	4		TRUE	TRUE	Tankoubon	ivrea																
Lost Brain	3	3		TRUE	FALSE	Unknown	Unknown																
Aoi Destruction	1	1		TRUE	FALSE	Unknown	Unknown																
Gokushufudo	3	??		FALSE	FALSE	Unknown	Unknown																
GTO	8	12		FALSE	TRUE	Unknown	Unknown																
Paradise Kiss	5	5		TRUE	FALSE	Unknown	Unknown																
All You Need is Kill	1	1		TRUE	FALSE	A5	Viz Media																
Nana	1	??	1,3-??	FALSE	FALSE	Unknown	Unknown																
Im a Hero	11	22	10-11,14,22	FALSE	TRUE	Unknown	Unknown																
Evangelion	10	14		FALSE	TRUE	Unknown	Unknown																
Sun Ken Rock	2	12		FALSE	FALSE	Unknown	Unknown																
Kamen Rider Kuuga	12	??		FALSE	FALSE	Unknown	Unknown																
Made In Abyss	10	??		FALSE	FALSE	Unknown	Unknown																
Parasyte	4	8		FALSE	FALSE	Unknown	Unknown																
Bleach	1	26		FALSE	FALSE	Unknown	Unknown																
One Punch Man	12	??	4-5,7,16-??	FALSE	FALSE	Unknown	Unknown																
Sakura Wars	9	9		TRUE	FALSE	Tankoubon	Glenat																
Rurouni Kenshin	1	22		FALSE	FALSE	Unknown	Unknown																
Look Back	1	1		TRUE	FALSE	Tankoubon	ivrea																
Goodbye Eri	1	1		TRUE	FALSE	Tankoubon	ivrea																
17-21	1	1		TRUE	FALSE	Tankoubon	ivrea																
22-26	1	1		TRUE	FALSE	Tankoubon	ivrea																
Hajime No Ippo	6	??		FALSE	FALSE	Unknown	Unknown																
Mushishi	2	??		FALSE	FALSE	Unknown	Unknown																
Vinland Saga	2	??		FALSE	FALSE	Unknown	Unknown																
